ID,Prob1
0, 0.32
1, 0.22
2, 0.38
3, 0.25
4, 0.31
5, 0.12
6, 0.39
7, 0.22
8, 0.65
9, 0.10
10, 0.22
11, 0.60
12, 0.22
13, 0.55
14, 0.22
15, 0.55
16, 0.39
17, 0.25
18, 0.34
19, 0.22
20, 0.39
21, 0.45
22, 0.22
23, 0.25
24, 0.39
25, 0.22
26, 0.55
27, 0.55
28, 0.32
29, 0.22
30, 0.25
31, 0.22
32, 0.25
33, 0.25
34, 0.22
35, 0.60
36, 0.55
37, 0.25
38, 0.25
39, 0.22
40, 0.25
41, 0.25
42, 0.22
43, 0.25
44, 0.45
45, 0.05
46, 0.31
47, 0.22
48, 0.25
49, 0.25
50, 0.25
51, 0.32
52, 0.22
53, 0.10
54, 0.32
55, 0.55
56, 0.55
57, 0.22
58, 0.60
59, 0.25
60, 0.60
61, 0.22
62, 0.25
63, 0.32
64, 0.25
65, 0.38
66, 0.39
67, 0.14
68, 0.10
69, 0.22
70, 0.60
71, 0.22
72, 0.39
73, 0.22
74, 0.55
75, 0.38
76, 0.25
77, 0.60
78, 0.22
79, 0.32
80, 0.60
81, 0.32
82, 0.25
83, 0.25
84, 0.22
85, 0.25
86, 0.55
87, 0.52
88, 0.25
89, 0.25
90, 0.39
91, 0.22
92, 0.02
93, 0.02
94, 0.22
95, 0.39
96, 0.22
97, 0.25
98, 0.22
99, 0.25
100, 0.55
101, 0.02
102, 0.22
103, 0.22
104, 0.22
105, 0.22
106, 0.39
107, 0.22
108, 0.22
109, 0.25
110, 0.22
111, 0.32
112, 0.39
113, 0.25
114, 0.22
115, 0.55
116, 0.25
117, 0.39
118, 0.22
119, 0.22
120, 0.25
121, 0.39
122, 0.25
123, 0.22
124, 0.25
125, 0.55
126, 0.32
127, 0.32
128, 0.25
129, 0.60
130, 0.39
131, 0.60
132, 0.25
133, 0.60
134, 0.55
135, 0.34
136, 0.60
137, 0.25
138, 0.39
139, 0.22
140, 0.45
141, 0.38
142, 0.39
143, 0.31
144, 0.65
145, 0.45
146, 0.22
147, 0.32
148, 0.32
149, 0.39
150, 0.22
151, 0.22
152, 0.22
153, 0.25
154, 0.25
155, 0.25
156, 0.32
157, 0.55
158, 0.25
159, 0.55
160, 0.25
161, 0.55
162, 0.22
163, 0.25
164, 0.22
165, 0.22
166, 0.60
167, 0.38
168, 0.25
169, 0.25
170, 0.25
171, 0.25
172, 0.55
173, 0.22
174, 0.25
175, 0.02
176, 0.55
177, 0.22
178, 0.25
179, 0.34
180, 0.45
181, 0.60
182, 0.22
183, 0.34
184, 0.25
185, 0.25
186, 0.45
187, 0.32
188, 0.22
189, 0.25
190, 0.22
191, 0.39
192, 0.05
193, 0.55
194, 0.22
195, 0.22
196, 0.55
197, 0.39
198, 0.60
199, 0.32
200, 0.60
201, 0.22
202, 0.22
203, 0.52
204, 0.25
205, 0.25
206, 0.34
207, 0.34
208, 0.25
209, 0.10
210, 0.22
211, 0.22
212, 0.22
213, 0.55
214, 0.32
215, 0.25
216, 0.61
217, 0.31
218, 0.39
219, 0.25
220, 0.25
221, 0.32
222, 0.45
223, 0.22
224, 0.22
225, 0.32
226, 0.52
227, 0.32
228, 0.55
229, 0.25
230, 0.25
231, 0.25
232, 0.25
233, 0.02
234, 0.34
235, 0.32
236, 0.55
237, 0.39
238, 0.25
239, 0.32
240, 0.25
241, 0.25
242, 0.25
243, 0.32
244, 0.25
245, 0.22
246, 0.25
247, 0.22
248, 0.22
249, 0.25
250, 0.25
251, 0.22
252, 0.22
253, 0.22
254, 0.22
255, 0.55
256, 0.14
257, 0.61
258, 0.45
259, 0.25
260, 0.25
261, 0.22
262, 0.39
263, 0.25
264, 0.25
265, 0.32
266, 0.32
267, 0.22
268, 0.39
269, 0.45
270, 0.22
271, 0.34
272, 0.32
273, 0.52
274, 0.25
275, 0.25
276, 0.22
277, 0.25
278, 0.55
279, 0.32
280, 0.52
281, 0.25
282, 0.25
283, 0.39
284, 0.10
285, 0.22
286, 0.22
287, 0.39
288, 0.25
289, 0.55
290, 0.22
291, 0.55
292, 0.25
293, 0.45
294, 0.05
295, 0.22
296, 0.22
297, 0.05
298, 0.55
299, 0.55
300, 0.31
301, 0.25
302, 0.55
303, 0.22
304, 0.22
305, 0.55
306, 0.22
307, 0.25
308, 0.32
309, 0.22
310, 0.65
311, 0.60
312, 0.25
313, 0.39
314, 0.55
315, 0.22
316, 0.25
317, 0.22
318, 0.22
319, 0.10
320, 0.22
321, 0.39
322, 0.45
323, 0.22
324, 0.05
325, 0.25
326, 0.22
327, 0.22
328, 0.22
329, 0.55
330, 0.22
331, 0.05
332, 0.60
333, 0.22
334, 0.25
335, 0.22
336, 0.25
337, 0.22
338, 0.55
339, 0.22
340, 0.60
341, 0.55
342, 0.34
343, 0.55
344, 0.34
345, 0.02
346, 0.25
347, 0.22
348, 0.22
349, 0.25
350, 0.25
351, 0.25
352, 0.22
353, 0.60
354, 0.39
355, 0.39
356, 0.22
357, 0.22
358, 0.32
359, 0.22
360, 0.22
361, 0.34
362, 0.25
363, 0.22
364, 0.25
365, 0.39
366, 0.22
367, 0.25
368, 0.32
369, 0.60
370, 0.22
371, 0.25
372, 0.22
373, 0.22
374, 0.22
375, 0.25
376, 0.25
377, 0.25
378, 0.25
379, 0.22
380, 0.60
381, 0.45
382, 0.22
383, 0.22
384, 0.60
385, 0.25
386, 0.25
387, 0.22
388, 0.22
389, 0.22
390, 0.34
391, 0.55
392, 0.22
393, 0.22
394, 0.52
395, 0.55
396, 0.25
397, 0.39
398, 0.22
399, 0.22
400, 0.22
401, 0.10
402, 0.55
403, 0.22
404, 0.32
405, 0.22
406, 0.39
407, 0.22
408, 0.22
409, 0.39
410, 0.22
411, 0.39
412, 0.25
413, 0.25
414, 0.55
415, 0.22
416, 0.25
417, 0.22
418, 0.22
419, 0.32
420, 0.25
421, 0.25
422, 0.22
423, 0.60
424, 0.32
425, 0.39
426, 0.22
427, 0.22
428, 0.60
429, 0.39
430, 0.55
431, 0.32
432, 0.39
433, 0.22
434, 0.22
435, 0.25
436, 0.25
437, 0.39
438, 0.39
439, 0.22
440, 0.39
441, 0.25
442, 0.38
443, 0.39
444, 0.55
445, 0.22
446, 0.39
447, 0.25
448, 0.22
449, 0.25
450, 0.22
451, 0.25
452, 0.38
453, 0.32
454, 0.22
455, 0.60
456, 0.25
457, 0.55
458, 0.14
459, 0.55
460, 0.14
461, 0.25
462, 0.39
463, 0.39
464, 0.38
465, 0.60
466, 0.22
467, 0.10
468, 0.22
469, 0.25
470, 0.25
471, 0.25
472, 0.22
473, 0.22
474, 0.25
475, 0.55
476, 0.39
477, 0.25
478, 0.55
479, 0.55
480, 0.32
481, 0.55
